"id","include","name","category","district","address","longitude","latitude","mon","tue","wed","thu","fri","sat","sun","opening_hours_raw","ticket_price_yuan","recommended_duration_min","indoor","requires_reservation","walk_level","tags","official_url","source_note","source_provider","source_id","retrieved_at"
"amap_B0FFFWQGI8","true","杭州博物馆","museum","上城区","粮道山18号","120.166525","30.239091","09:00-16:30","closed","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","全年 周一, 周三-周日 09:00-16:30开放 最晚进入16:00；全年 周二 全天不开放；劳动节,元旦节,春节,清明节,端午节,中秋节,国庆节 09:00-16:30开放 最晚进入16:00","0","120","true","false","medium","博物馆|寺庙","","","amap","B0FFFWQGI8","2026-07-25T06:54:26+00:00"
"amap_B0HBLG930H","false","杭州大会展中心","exhibition","萧山区","港城大道与美狮路交叉口东380米","120.419314","30.271131","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","周一至周日 09:00-17:30；开放时间以当天展览为准","","90","true","true","high","展览馆","","无固定成人票价：根据展会内容决定","amap","B0HBLG930H","2026-07-25T06:54:26+00:00"
"amap_B0FFFWXTX3","true","济公殿","historic_site","西湖区","灵隐路法云弄1号灵隐景区东北角","120.101678","30.241442","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","周一至周日 07:00-17:00","0","90","true","true","low","历史遗址","","","amap","B0FFFWXTX3","2026-07-25T06:54:26+00:00"
"amap_B023B02054","true","上天竺法喜讲寺","temple","西湖区","西湖街道西湖街道天竺路338号","120.095362","30.227208","06:00-18:00","06:00-18:00","06:00-18:00","06:00-18:00","06:00-18:00","06:00-18:00","06:00-18:00","周一至周日 06:00-18:00","10","90","true","false","medium","寺庙","","原票价说明：5（学生 / 60–69 周岁老人），10（成人）","amap","B023B02054","2026-07-25T06:54:26+00:00"
"amap_B023B17WXC","true","吴山景区","scenic_area","上城区","清波街道吴山广场2号杭州吴山艺术团附近","120.165134","30.23412","07:30-18:00","07:30-18:00","07:30-18:00","07:30-18:00","07:30-18:00","07:30-18:00","07:30-18:00","周一至周日 07:30-18:00","30","150","false","false","medium","风景名胜","","原票价说明：15（学生 / 60–69 周岁老人），30（成人）","amap","B023B17WXC","2026-07-25T06:54:26+00:00"
"amap_B023B0BIO8","true","CBD公园","park","上城区","五星路181号(市民中心地铁站N3B口步行460米)","120.212285","30.237933","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","medium","公园","","","amap","B023B0BIO8","2026-07-25T06:54:26+00:00"
"amap_B023B1E89A","true","清河坊步行街","pedestrian_street","上城区","河坊街","120.168923","30.240073","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","120","false","false","low","步行街","","","amap","B023B1E89A","2026-07-25T06:54:26+00:00"
"amap_B0FFI1Z3OS","true","杭州动物园-海狮训练馆","zoo","西湖区","虎跑路40号杭州动物园内(北侧)","120.133335","30.214028","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","low","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0FFI1Z3OS","2026-07-25T06:54:26+00:00"
"amap_B0JAO7X58K","true","杭州亚运会博物馆","museum","滨江区","杭州奥体中心体育场西南角B1层","120.229057","30.228256","closed","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","周二至周日 09:00-16:30 最晚进入16:00","0","120","true","false","medium","博物馆","","","amap","B0JAO7X58K","2026-07-25T06:54:26+00:00"
"amap_B0H6PCS3J8","true","武林之星博览中心","exhibition","拱墅区","杭氧街33号","120.182582","30.299164","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","09:00-17:30","closed","closed","周一至周五 09:00-17:30","0","90","true","false","medium","展览馆","","","amap","B0H6PCS3J8","2026-07-25T06:54:26+00:00"
"amap_B023B17X80","true","灵隐寺-华严殿","historic_site","西湖区","西湖街道西湖街道法云弄1号灵隐寺内(北侧)","120.100851","30.24226","07:00-18:00","07:00-18:00","07:00-18:00","07:00-18:00","07:00-18:00","07:00-18:00","07:00-18:00","周一至周日 07:00-18:00 最晚进入17:30","0","90","true","true","medium","历史遗址|寺庙","","","amap","B023B17X80","2026-07-25T06:54:26+00:00"
"amap_B023B14CB8","true","灵隐景区","temple","西湖区","灵隐路法云弄1号","120.100804","30.240882","06:30-16:00","06:30-16:00","06:30-16:00","06:30-16:00","06:30-16:00","06:30-16:00","06:30-16:00","周一至周日 06:30-16:00","0","90","true","true","medium","寺庙","","","amap","B023B14CB8","2026-07-25T06:54:26+00:00"
"amap_B023B09YVJ","true","世纪花园","park","上城区","世纪花园北门","120.217398","30.248649","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","low","公园","","","amap","B023B09YVJ","2026-07-25T06:54:26+00:00"
"amap_B0FFFDSY6C","false","浙江富春江咕噜咕噜岛湿地公园","wetland","富阳区","东洲街道东洲街道东洲街道东洲街道东洲街道东洲街道春永线咕噜咕噜岛内","120.055502","30.050303","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","07:00-17:00","周一至周日 07:00-17:00","","180","false","true","medium","湿地公园","","无固定成人票价：票价实时浮动","amap","B0FFFDSY6C","2026-07-25T06:54:26+00:00"
"amap_B023B0BDGD","true","大兜路历史文化街区","cultural_district","拱墅区","大兜路(香积寺地铁站出入口步行250米)","120.144891","30.300095","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","120","false","false","low","文化街区","","","amap","B023B0BDGD","2026-07-25T06:54:26+00:00"
"amap_B0FFK1AXR3","true","杭州动物园-两栖爬行动物馆","zoo","西湖区","虎跑路40号杭州动物园内(东侧)","120.13434","30.212008","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0FFK1AXR3","2026-07-25T06:54:26+00:00"
"amap_B0FFF0DY8D","true","良渚文化艺术中心","art_gallery","余杭区","玉鸟路12号良渚文化村内(东侧)","120.032341","30.365111","09:00-22:00","09:00-22:00","09:00-22:00","09:00-22:00","09:00-22:00","09:00-22:00","09:00-22:00","周一至周日 09:00-22:00","0","120","true","false","medium","美术馆|文化街区","","","amap","B0FFF0DY8D","2026-07-25T06:54:26+00:00"
"amap_B0FFLLGM12","true","浙江展览馆","exhibition","拱墅区","环城北路197号(武林广场地铁站B口步行70米)","120.163215","30.272688","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周一至周日 09:00-17:00 最晚进入16:30","0","90","true","false","medium","展览馆","","","amap","B0FFLLGM12","2026-07-25T06:54:26+00:00"
"amap_B023B17XAC","true","灵隐寺-天王殿","historic_site","西湖区","西湖街道法云弄1号灵隐寺内(南侧)","120.101695","30.240103","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","周一至周日 08:00-18:00","0","90","true","true","low","历史遗址","","","amap","B023B17XAC","2026-07-25T06:54:26+00:00"
"amap_B0FFFDIGWR","true","杭州西湖风景名胜区-岳王庙","temple","西湖区","北山街80号","120.13459","30.252443","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","周一至周日 07:30-17:30 最晚进入17:30","25","90","false","false","low","寺庙","","原票价说明：12.5（学生 / 60–69 周岁老人），25（成人）","amap","B0FFFDIGWR","2026-07-25T06:54:26+00:00"
"amap_B0G2V7K33P","true","良渚古城数智体验馆","ancient_town","余杭区","良渚古城遗址公园","119.990879","30.388443","10:00-16:30","10:00-16:30","10:00-16:30","10:00-16:30","10:00-16:30","10:00-16:30","10:00-16:30","周一至周日 10:00-16:30","60","180","false","true","medium","古镇","","原票价说明：30（学生 / 60–69 周岁老人），60（成人）","amap","B0G2V7K33P","2026-07-25T06:54:26+00:00"
"amap_B0FFFDCCJ2","true","华家池","scenic_area","上城区","凯旋路268号","120.19439","30.271204","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","150","false","true","low","风景名胜","","","amap","B0FFFDCCJ2","2026-07-25T06:54:26+00:00"
"amap_B0FFKPQ4IL","true","钱江世纪城沿江公园","park","萧山区","萧山区","120.228306","30.235428","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","medium","公园","","","amap","B0FFKPQ4IL","2026-07-25T06:54:26+00:00"
"amap_B0FFGXM0CQ","true","五常湿地","wetland","余杭区","高教路与文二西路交汇处附近","120.023654","30.262026","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","180","false","false","medium","湿地公园","","","amap","B0FFGXM0CQ","2026-07-25T06:54:26+00:00"
"amap_B0HUGMQG9N","true","西泠·武林美术馆","art_gallery","拱墅区","新天地街309号","120.183503","30.321132","closed","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","09:00-16:30","周二至周日 09:00-16:30,节假日以官方通知为准","0","120","true","false","medium","美术馆","","","amap","B0HUGMQG9N","2026-07-25T06:54:26+00:00"
"amap_B0IRO7WYCW","true","杭州国家版本馆","exhibition","余杭区","瓶窑镇文润路1号","120.017007","30.381215","closed","09:00-16:00","09:00-16:00","09:00-16:00","09:00-16:00","09:00-16:30","09:00-16:30","1/1-12/31 周二-周五 09:00-16:00开放；1/1-12/31 周六-周日 09:00-16:30开放；1/1-12/31 周一 全天不开放；元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 09:00-16:30开放；周一闭馆(特殊情况另行通知）","0","90","true","false","medium","展览馆","","","amap","B0IRO7WYCW","2026-07-25T06:54:26+00:00"
"amap_B023B0A6HW","true","杭州西湖风景名胜区-郭庄","temple","西湖区","杨公堤28号(卧龙桥旁)","120.132267","30.243918","08:00-17:00","08:00-17:00","08:00-17:00","08:00-17:00","08:00-17:00","08:00-17:00","08:00-17:00","周一至周日 08:00-17:00 最晚进入16:30","10","90","false","false","low","寺庙|风景名胜","","原票价说明：0（70 周岁以上老人、6 周岁以下 / 1.2 米以下儿童、残疾人、现役军人等），5（学生 / 60–69 周岁老人），10（成人）","amap","B023B0A6HW","2026-07-25T06:54:26+00:00"
"amap_B023B082T5","true","西湖天地","scenic_area","上城区","南山路147号9C","120.159282","30.247034","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","150","false","false","low","风景名胜","","","amap","B023B082T5","2026-07-25T06:54:26+00:00"
"amap_B0GR3AJKMC","true","CBD公园","park","上城区","之江路与庆春东路交叉口南60米","120.222806","30.25025","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","medium","公园","","","amap","B0GR3AJKMC","2026-07-25T06:54:26+00:00"
"amap_B0G3F5JLJS","true","阳陂湖","wetland","富阳区","西环北路133号","119.913864","30.075331","08:30-17:00","08:30-17:00","08:30-17:00","08:30-17:00","08:30-17:00","08:30-17:00","08:30-17:00","周一至周日 08:30-17:00","0","180","false","false","medium","湿地公园","","","amap","B0G3F5JLJS","2026-07-25T06:54:26+00:00"
"amap_B0KUBRSGCW","true","浙江省文化创意街区","cultural_district","拱墅区","桥西直街1号拱宸桥西历史文化街区","120.137919","30.316705","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","120","false","false","low","文化街区","","","amap","B0KUBRSGCW","2026-07-25T06:54:26+00:00"
"amap_B023B0696X","true","九曲营步行街","pedestrian_street","临平区","九曲营西路与北大街交叉口西南50米","120.301986","30.424367","07:30-22:30","07:30-22:30","07:30-22:30","07:30-22:30","07:30-22:30","07:30-22:30","07:30-22:30","周一至周日 07:30-22:30","0","120","false","false","low","步行街","","","amap","B023B0696X","2026-07-25T06:54:26+00:00"
"amap_B0FFK1AXR8","true","杭州动物园-狮山","zoo","西湖区","虎跑路40号杭州动物园内(西北角)","120.131883","30.212817","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0FFK1AXR8","2026-07-25T06:54:26+00:00"
"amap_B0L1DMTG82","true","灰色博物馆(杭州解百A座店)","museum","上城区","解百A座5层(定安路地铁站B口步行440米)","120.165634","30.249501","10:00-21:30","10:00-21:30","10:00-21:30","10:00-21:30","10:00-21:30","10:00-21:30","10:00-21:30","周一至周日 10:00-21:30","39.9","120","true","false","low","博物馆","","原票价说明：成人票约 39.9 元，学生优惠票","amap","B0L1DMTG82","2026-07-25T06:54:26+00:00"
"amap_B0HKMU8WRN","true","天目里美术馆","art_gallery","西湖区","古荡街道天目山路398号天目里1号楼负一楼","120.099355","30.265681","closed","12:00-20:00","12:00-20:00","12:00-20:00","12:00-20:00","12:00-20:00","12:00-20:00","1/1-12/31 周二-周日 12:00-20:00开放 最晚进入19:30；1/1-12/31 周一 全天不开放；元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 12:00-20:00开放 最晚进入19:30","120","120","true","false","medium","美术馆","","原票价说明：平日 90 元，周末 / 节假日 120 元； 优待票（本科及以下学生、60 周岁以上老人、1.2 米以上未成年人）平日 45 元，周末 60 元； 1.2 米以下儿童、现役军人、残障人士凭证免票","amap","B0HKMU8WRN","2026-07-25T06:54:26+00:00"
"amap_B0FFFF7W09","true","全山石艺术中心","exhibition","西湖区","江涵路88号","120.10567","30.165982","closed","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","周二至周日 09:30-17:00","0","90","true","false","medium","展览馆","","","amap","B0FFFF7W09","2026-07-25T06:54:26+00:00"
"amap_B0FFFDE5LV","true","杭州西湖风景名胜区-理安寺","temple","西湖区","乾龙路","120.112958","30.207319","10:00-21:00","10:00-21:00","10:00-21:00","10:00-21:00","10:00-21:00","10:00-21:00","10:00-21:00","周一至周日 10:00-21:00","0","90","false","false","medium","寺庙","","","amap","B0FFFDE5LV","2026-07-25T06:54:26+00:00"
"amap_B0HUAC9R2Z","true","钱江世纪城沿江公园绿道观景平台","park","萧山区","秋韵路a7-2号钱江世纪公园(西南角)","120.235234","30.24233","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","medium","公园","","","amap","B0HUAC9R2Z","2026-07-25T06:54:26+00:00"
"amap_B0G1DSEKI3","true","南堡湿地公园","wetland","桐庐县","江滨路西南侧","119.435036","29.960394","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","180","false","false","medium","湿地公园","","","amap","B0G1DSEKI3","2026-07-25T06:54:26+00:00"
"amap_B0G3YUW6WJ","true","永旺路步行街","pedestrian_street","临平区","永旺路兴旺大楼","120.298008","30.462371","10:00-24:00","10:00-24:00","10:00-24:00","10:00-24:00","10:00-24:00","10:00-24:00","10:00-24:00","周一至周日 10:00-24:00","0","120","false","false","low","步行街","","","amap","B0G3YUW6WJ","2026-07-25T06:54:26+00:00"
"amap_B0GDTMXLOL","true","杭州动物园-长颈鹿馆","zoo","西湖区","虎跑路40号杭州动物园(西北角)","120.132599","30.213609","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0GDTMXLOL","2026-07-25T06:54:26+00:00"
"amap_B023B070V2","true","中国美术学院南山校区美术馆","art_gallery","上城区","南山路218号中国美术学院南山校区","120.159751","30.242825","closed","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周二至周日 09:00-17:00,节假日以官方通知为准","0","120","true","true","medium","美术馆","","","amap","B023B070V2","2026-07-25T06:54:26+00:00"
"amap_B0LANUXYN0","true","肖峰艺术馆","exhibition","西湖区","虎玉路1号","120.137598","30.205001","09:00-17:00","closed","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周一 09:00-17:00；周三至周日 09:00-17:00,2026年春节期间 09:00-17:00","0","90","true","false","medium","展览馆","","","amap","B0LANUXYN0","2026-07-25T06:54:26+00:00"
"amap_B023B14O96","true","良渚古城遗址公园","historic_site","余杭区","瓶窑镇凤都路与104国道辅路交叉口西北200米","119.991005","30.389549","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周一至周日 09:00-17:00；最晚进入16:00","60","90","false","true","high","历史遗址|古镇|湿地公园","","原票价说明：0（70 周岁以上老人、6 周岁以下 / 1.2 米以下儿童、残疾人、现役军人等），30（学生 / 60–69 周岁老人），60（成人）","amap","B023B14O96","2026-07-25T06:54:26+00:00"
"amap_B023B0A6I3","true","慧因高丽寺","temple","西湖区","西湖街道三台山路149-1号(近八盘岭路)","120.130858","30.228023","08:30-16:30","08:30-16:30","08:30-16:30","08:30-16:30","08:30-16:30","08:30-16:30","08:30-16:30","周一至周日 08:30-16:30 最晚进入16:30","0","90","true","false","low","寺庙","","","amap","B023B0A6I3","2026-07-25T06:54:26+00:00"
"amap_B023B0247C","true","杭州西湖风景名胜区-柳浪闻莺","scenic_area","上城区","清波街道南山路87号","120.156326","30.240389","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","150","false","false","low","风景名胜","","","amap","B023B0247C","2026-07-25T06:54:26+00:00"
"amap_B023B1AVVP","true","左岸万国花园","park","滨江区","长河街道闻涛路","120.212877","30.21889","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","low","公园","","","amap","B023B1AVVP","2026-07-25T06:54:26+00:00"
"amap_B0L35UF0RG","true","杭州动物园 - 蟒蛇展区","zoo","西湖区","虎跑路40号杭州动物园","120.134173","30.212105","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","周一至周日 07:00-17:30","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0L35UF0RG","2026-07-25T06:54:26+00:00"
"amap_B023B17WS3","true","南宋御街陈列馆","museum","上城区","中山中路112号","120.170995","30.242404","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","120","true","false","low","博物馆|展览馆","","","amap","B023B17WS3","2026-07-25T06:54:26+00:00"
"amap_B0K0YSJAX8","true","西溪蔡志忠美术馆","art_gallery","西湖区","天目山路508号曲水庵区块2区10号","120.077094","30.262875","closed","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周二至周日 09:00-17:00,节假日以官方通知为准","0","120","true","false","low","美术馆","","","amap","B0K0YSJAX8","2026-07-25T06:54:26+00:00"
"amap_B0K66ZNQ3R","true","东巢·碾米厂当代艺术中心","exhibition","西湖区","庙前街道南阳坝路入口","120.080215","30.319045","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","true","false","medium","展览馆","","","amap","B0K66ZNQ3R","2026-07-25T06:54:26+00:00"
"amap_B023B08Q06","true","虎跑公园","historic_site","西湖区","虎跑路39号","120.1299","30.208087","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","07:00-17:30","周一至周日 07:00-17:30 最晚进入17:00","15","90","false","false","low","历史遗址|湿地公园","","原票价说明：0（70 周岁以上老人、6 周岁以下 / 1.2 米以下儿童、残疾人、现役军人等），7.5（学生 / 60–69 周岁老人），15（成人）","amap","B023B08Q06","2026-07-25T06:54:26+00:00"
"amap_B0FFJ41BEG","true","杭州西湖风景名胜区-古梵天寺","temple","上城区","西湖街道龙井路1号杭州西湖风景名胜区内(东侧)","120.167401","30.217808","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","low","寺庙","","","amap","B0FFJ41BEG","2026-07-25T06:54:26+00:00"
"amap_B023B01EE6","true","杭州西湖风景名胜区-断桥残雪","scenic_area","西湖区","龙井路1号杭州西湖风景名胜区内(东北角)","120.151347","30.258151","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","150","false","false","low","风景名胜","","","amap","B023B01EE6","2026-07-25T06:54:26+00:00"
"amap_B0KGZ5Z1ZS","true","钱江世纪公园彩虹跑道","park","萧山区","盈丰街道钱江世纪公园","120.235195","30.245997","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","low","公园","","","amap","B0KGZ5Z1ZS","2026-07-25T06:54:26+00:00"
"amap_B023B0A461","true","美丽洲公园","wetland","余杭区","良渚街道美丽洲路1号(近良渚博物院)","120.028334","30.377318","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","180","false","false","low","湿地公园","","","amap","B023B0A461","2026-07-25T06:54:26+00:00"
"amap_B0GRD9KTTI","true","天街步行街(龙湖杭州金沙天街店)","pedestrian_street","钱塘区","下沙滟澜园茗轩12幢112-1室","120.326292","30.310625","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","周一至周日 10:00-22:00","0","120","false","false","low","步行街","","","amap","B0GRD9KTTI","2026-07-25T06:54:26+00:00"
"amap_B0FFK1AXR9","true","杭州动物园-海豹池","zoo","西湖区","虎跑路40号杭州动物园","120.133098","30.211833","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0FFK1AXR9","2026-07-25T06:54:26+00:00"
